Blocks,low_pharm,high_pharm,low_patient,high_patient
489,20417.7405,26529.5941,255.2217563,331.619926
490,20415.7009,26526.9146,255.1962613,331.586433
491,20414.6879,26525.6039,255.1835992,331.570048
492,20412.6628,26522.9434,255.1582853,331.536793
493,20410.6459,26520.2938,255.1330741,331.503672
494,20408.6372,26517.6549,255.107965,331.470686
495,20406.6366,26515.0266,255.0829573,331.437832
496,20404.644,26512.4089,255.0580504,331.405112
497,20402.6595,26509.8018,255.0332438,331.372523
498,20400.6829,26507.2052,255.0085369,331.340064
499,20398.7143,26504.6189,254.9839289,331.307736
500,20396.7536,26502.043,254.9594194,331.275538
